Id,comment,Focal_Obj,Focal_Obj_Attribute
114861,- MFG-053 has incorrect title in the reference section,Reference,Incorrect
3560, Need to have lab review and update prior to sending forward for client approval.,Review,Missing
101588, Need to remove CI,Document_Section,Unnecessary
101589, Need to remove red lines in document separating sections,Document_Formatting,Incorrect
3572, need to upload the latest version,Version,Incorrect
101590, Needs to be aborted.  No longer required.,Unknown,Unknown
2443, No redlines attached,Attachment,Missing
3573, note,Out_of_Doc_Comment,Unknown
162856,"On JBA, update CGBT to Sexton",Document_Text_Seg,Incorrect
2444," On the final document, please include the Infocard number in the header next to the revision level",InfoCard,Missing
2445, Paragraph 4 still has Instrumed with a line through it.,Document_Formatting,Incorrect
107240," PG 24 - missing 'shipped"" on step 23 & 24 instruction before the word ""prior""",Document_Text_Seg,Missing
162877,Please add example investigation documentation methods under the rejected product section,Document_Section,Missing
108665, Please add File,Attachment,Missing
73445,"- PLEASE ATTACH BARCODE VERIFICATION 
  SCAN
",Attachment,Missing
162857,Please list in the instructions area rep approver(s). Currently Mik is the KPO and Mal QA.,Approval,Missing
104422,Please obtain SDS from Croda.,Unknown,Unknown
104423,Please remove appearance.,Document_Text_Seg,Incorrect
104447,"- please remove no 7 and 8
- please remove the ""75%"" from shelf life",Multi_Obj,Multi_Attribs
104447-a,please remove no 7 and 8,Document_Info,Incorrect
104447-b,"please remove the ""75%"" from shelf life",Document_Text_Seg,Incorrect
104448,- please remove no. 1 and 7,Document_Info,Incorrect
162878,Please reword footer section as discussed,Document_Info,Incorrect
162860,- Please see Ian's comments/edits ,Out_of_Doc_Comment,Unknown
104430,"Please see the newer SDS. the manufacturer is Evo, no longer AirP.",Document_Info,Incorrect
162879,- refer to Ian's comments,Out_of_Doc_Comment,Unknown
3562, Rejected by author to add reasons for revision,Unknown,Unknown
3563, Rejected by author to update title,Title,Incorrect
3564," Rejected due to required revision:  Page 3 references â€œLn Pharmaceuticalsâ€ when their name is â€œLuden Laboratories, Inc.",Document_Text_Seg,Incorrect
114863,rejected-@ needs to be reviewed by approver,Approval,Missing
162880,- rejected per author's request,Unknown,Unknown
114849," Rejected per QCâ€™s request, so that the documentâ€™s template may be further updated",Document_Formatting,Obsolete
58663,rejected to do further editing,Unknown,Unknown
58664,Rejecting to fix JST referencing error in attachment,Attachment,Incorrect
2452, Rejecting to update the notes section,Document_Section,Incorrect
2453, Rejecting to update the notes section with revision info,Document_Section,Incorrect
3575, spelling = dihydrate,Document_Text_Seg,Incorrect
162865,"- Steps 3.9.9 and 3.9.16 have fill ranges as 100-106mL, not 100-107mL",Document_Text_Seg,Incorrect
137161, The collaborators must sign in step 2 and 16,Approval,Missing
3534,"

Micro did not collaborate. Need to edit micro portion",Document_Info,Incorrect
3535,"
15. Appendices on page 18 does not include Appendix 2 and title.",Document_Section,Incorrect
68049,"
Can we please add the Quality Unit to the responsibility section?  Vendors that provide a service are approved by the Quality Unit.",Document_Section,Incomplete
108218,"
R2893 â€“ The patents box should be checked for yes (not no) and a link should be added.
",Document_Info,Incomplete
69305,"
remove extra ""2020"" from first paragraph",Document_Text_Seg,Incorrect
3538,"
spelling error in 3.2 Results ""me"" should be ""met""",Document_Text_Seg,Incorrect
159786,"
The section 4: Definitions have only acronymâ€™s in the table. Please provide definitions for all this words. I am sending back to you to add definition for all this words
",Document_Info,Incomplete
95305,"
wrong year",Date,Incorrect
89778,!0 and 20 mg specification should be changed to +/-0.25 %.,Document_Info,Incorrect
113836,"""**"" lab qual footnote needs to be updated",Document_Info,Obsolete
41049,""".0"" was not added to the 2% pH as described in the listed changes.",Document_Text_Seg,Incomplete
46531,"""08"" is missing on revision record",Document_Text_Seg,Incomplete
99613,"""11. OVERALL SUMMARY"" section needs to be updated.",Document_Section,Incorrect
118018,"""200mg"" was not added to the title on pages 2-4",Document_Text_Seg,Incorrect
2459,"""360 - Incomplete/Inaccurate Print"" is listed twice",Document_Text_Seg,Duplicate
87659,"""AAA ACTION:  Log incomplete.  Please move to the DNU Vault.
NOTE PSI: Send all logs at site closeout""",Document_Info,Incomplete
87660,"""AAA ACTION:  Missing exp date, the naming convention does not best reflect document.  Please update to:
5.2.7 Credentials Ann M License Exp 01AUG""",Date,Missing
2460,"""Absolutely  no FOD"" is not a good specification, it needs to be bounded i.e. ""when viewed with unaided eye at 18 inches in ambient lighting"".",Document_Text_Seg,Unclear
2461,"""Absolutely no FOD"" is not a good requirement.  It needs to be bounded i.e. ""when viewed with unaided eye at 18 inches, ambient lighting"".",Document_Text_Seg,Unclear
2465,"""accept changes and stop tracking"" in main file. Redlines are attached. Complete notes section of infocard.",InfoCard,Incomplete
172000,"""Access Area""  from SGPA was removed. Please add to diagram. [Appendix 1]

Thanks,",Document_Text_Seg,Missing
189000,"""action"" needs to change to ""investigation""",Document_Text_Seg,Incorrect
33364,"""Advantage"" should be capitalized in the question. Also please add the word ""scanner"" after ""iTero"" in the question.",Document_Text_Seg,Incorrect
133812,"""AL was defined as ALD2, AM was defined as ALD2 and AH was defined as AHD2 in the data package""

Correct: AM was defined as AMD2",Document_Text_Seg,Incorrect
90385,"""Anne to make corrections"" - Eric",Out_of_Doc_Comment,Unknown
108882,"""ARTE, INC DOES NOT PROVIDE MEDICAL ADVICE.""  should be changed to ""LEM DOES NOT PROVIDE MEDICAL ADVICE.""",Document_Text_Seg,Incorrect
91395,"""attach behind ITR""' is a flight packet reference",Document_Text_Seg,Unknown
138249,"""b"" present in dissolution spec doesn't seem to reference anything",Document_Text_Seg,Missing
40656,"""C"" in ""Coli"" should be lower case.
Italicize Salmonella and E. coli.",Document_Text_Seg,Incorrect
91940,"""Can you reject that one for now. I need to do a new PS for CON084 and new info card to separate those two."" Rejected at DA per Tam.",InfoCard,Incorrect
56436,"""Cleanliness"" section refers to ""roll"". Product is preformed pouch, not roll.",Document_Text_Seg,Incorrect
73375,"""COPIES TO"" - PLEASE CHANGE VENDOR NAME ",Document_Text_Seg,Incorrect
113311,"""created by"" field is blank.  I can fix this for you...",Document_Info,Incomplete
84948,"""CYT Item #"" needs to be changed to 50621-01.",Document_Text_Seg,Incorrect
41608,"""Date Performed by"" field is blank at the top of the  report",Date,Missing
70344,"""Date"" field is missing from memo.",Date,Missing
138238,"""DE/AT"" need to changed to ""Germany/Austria""  to  match what is on spec. The characters are limited in JDE so the country codes names were utilized to help aid in the description.",Document_Text_Seg,Incorrect
123027,"""Description"" on page 3 should be deleted.  It should only appear on page 2.",Document_Text_Seg,Unnecessary
70345,"""Device testing"" is too broad. Samples are being used for PFS for OBI functional testing. ",Document_Text_Seg,Unclear
173091,"""DR1-2.pptx"" not attached to PEER infocard. It is referenced in PEER.",Attachment,Missing
188999,"""Draft"" Watermark needs to be removed.  Will re-route once corrrected",Document_Formatting,Incorrect
3582,"""E"" doc - switch steps f and g and add in the 100% inspections and the step for re-caluclating the weightlimits.  Re-review the redline Shelley sent (the word document of ""E"").",Document_Info,Incorrect
47097,"""EDH-QC-079; 44-45"" in Section 2.0 is wrong",Document_Text_Seg,Incorrect
47098,"""Error!  Ref source not found""
Fix this in steps 7.1.6, 9.1.8, & 9.5.1

Fix step 7.2 formatting",Reference,Missing
31159,"""executed missing in title""",Title,Incorrect
73376,"""FINISH"" DOES NOT MATCH",Document_Info,Unclear
118019,"""Go/No Go"" should be written like this throughout the procedure.  This procedure has been provided to GSK and will possibly draw comments we would want address",Document_Text_Seg,Incorrect
172001,"""G Lab"" needs to be included to the name.  In the ""OBJECTIVE"" section, please replace ""...solution systems at Stallergenes Greer STAGR"" with ""...solution systems at Stallergenes Greer (STAGR; G Lab)""",Document_Text_Seg,Incorrect
172002,"""G Lab"" needs to be included to the name. In the ""OBJECTIVE"" section, please replace ""...solution systems at Stallergenes Greer (STAGR)"" with ""...solution systems at Stallergenes Greer (STAGR; G Lab)""",Document_Text_Seg,Incorrect
172003,"""G Lab, Inc."" needs to remain, as regulatory agencies only recognize us by this name.",Document_Text_Seg,Unknown
123413,"""Hs"" needs to be deleted off of the labelling for LBL-10156 for Human AD.",Document_Text_Seg,Incorrect
69306,"""IN"" style part number, IN1544, setup to replace GY-0005, â€œ8mm Pituitary Rongeurâ€.",Document_Text_Seg,Incorrect
181863,"""Instruction"" dalyje reikÄ—tÅ³ Ä¯raÅ¡yti, kad keitimas suderintas su padalinio vadovu.",Unknown,Unknown
181869,"""Instructions"" dalye turi bÅ«ti nurodyta, kad keitimas suderintas su padalinio vadovu.",Unknown,Unknown
181885,"""Instructions"" dalyje turÄ—tÅ³ bÅ«ti nurodyta, kad keitimas yra suderintas su padalinio vadovu.",Unknown,Unknown
181886,"""Instructions"" dalyje turÄ—tÅ³ bÅ«ti paraÅ¡yta, kad keitimas suderintas su padalinio vadovu.",Unknown,Unknown
181872,"""Instructions"" dalyje turi bÅ«ti paminÄ—ta, kad Å¡is keitimas yra suderintas su padalio vadovu.",Unknown,Unknown
91941,"""Instructions"" sections does not include ""Peer Review, Department Approver, QA Approver, etc."" listed",Document_Section,Incomplete
69310,"""instruments"" misspelled at bottom of sheet.

remove space before CAS02693 in excel format.",Document_Text_Seg,Incorrect
181887,"""Instuction"" dalyje turi bÅ«ti nurodyta, kad keitimas suderintas su padalinio vadovu.",Unknown,Unknown
33367,"""invis is"" is always lower case",Document_Text_Seg,Incorrect
33368,"""invis is"" must always be lowercase",Document_Text_Seg,Incorrect
100695,"""Issued by"" incomplete",Document_Info,Incomplete
131919,"""log in"" should be one word (login), in a few places",Document_Text_Seg,Incorrect
180101,"""Machinery"" misspelled in section 3. Once corrected, please upload so that QA may approve. Thanks for addressing all my comments Matt!",Document_Text_Seg,Incorrect
33365,"""Master File review and approval should be document owner instead of ICR""",Approval,Incorrect
31160,"""masterflex 77602-10 pump head"" - remove extra zero at end",Document_Text_Seg,Incorrect
33366,"""Mix. Match. Stick. Repeat!"" needs to be removed.",Document_Text_Seg,Incorrect
155517,"""MKT00079"" in the Notes of the InfoCard and in the revision log of the document should be changed to ""MKT00074"".",Document_Text_Seg,Incorrect
47105,"""moniter"" should be ""monitor""
Also the lot number should be ""-S39"" instead of "".S39""",Document_Text_Seg,Incorrect
2462,"""NO gaps or clumps"" does not allow a tolerance.  Please include a tolerance i.e. ""NO gaps or clumps larger than XXX inches when viewed with the unaided eye at 18 inches""",Document_Text_Seg,Incorrect
173098,"""No PR found in WC. Please reference OP-70 Rev AA (Section V, Page 95 & 96). Questions?Â Â Contact WHelp@s.com 
""
521205070001 update the lifecycle to preproction 4-step",Document_Info,Incorrect
173099,"""No PR found in WC. Please reference OP-70 Rev AA (Section V, Page 95 & 96). Questions?Â Â Contact WHelp@s.com 
""
Use the most current template for the ES",Document_Info,Incorrect
131918,"""Ok or not OK is not an acceptable answer for the selective media. Update the qc bench sheets to state for selective media growth or no growth.",Document_Text_Seg,Incorrect
131321,"""operations"" should have been capitalized where is part of formal title.",Document_Text_Seg,Incorrect
58661,"""Original Release"" and ""Retest"" boxes both checked and duplicated.",Document_Text_Seg,Duplicate
69307,"""OUS"" should be added to each inspection header, currently only indicated in the name on the pre-coating inspection",Document_Text_Seg,Missing
162836,"""Passive Freezing"" in middle of 1.3 should be next section",Document_Section,Incorrect
59584,"""Perform other duties as assigned."" bullet is in the qualifications section, instead of the key responsibilities section.",Document_Section,Incorrect
118020,"""Placeholder"" was not removed from collaboration and would have shown up on manifest.",Document_Text_Seg,Obsolete
173100,"""Please update the REV on the Revisions tab in cell B1 on the DHF form to match the infocard.
""
",Version ,Incorrect
181888,"""Power supply"" URS ruoÅ¡ti nereikia.",Unknown,Unknown
91396,"""pro"" needs changed to ""order""",Document_Text_Seg,Incorrect
91397,"""pro"" needs changed to ""order"" for document consistency",Document_Text_Seg,Incorrect
91398,"""pro"" needs replaced with ""order"" for document consistency",Document_Text_Seg,Incorrect
91399,"""pro"" needs updated to ""order"" for consistency with other docs",Document_Text_Seg,Incorrect
86871,"""Product development lab"" needs to be corrected to ""process development lab""",Document_Text_Seg,Incorrect
33371,"""proposed change"" and ""reason for change"" need to be clarified.",Document_Text_Seg,Incorrect
91943,"""PS-204 has new EXP for all waters, 1 year from receipt per CAM-CPA-190058. (PS is still routing through MC). Rejecting so exp can be updated to reflect CAM-CPA-190058 set exp."" Rejected",Date,Incorrect
46330,"""Purchase"" must be replaced with ""Purchasing""",Document_Text_Seg,Incorrect
91944,"""QA Approver"" not provided.",Approval,Missing
91945,"""QA Approver"" was not provided.",Approval,Missing
3605,"""r"" in ""Parameter"" is on the next line in Table 7.",Document_Text_Seg,Incorrect
69308,"""RA"" and ""Validation"" task tabs needs updating as agreed on prior CNs.
Need to be consistent with drawing conventions established. JP provided red lines.",Document_Section,Incorrect
91946,"""Room Temperature"" is not defined and needs to be replaced with ""Ambient Temperature.""",Document_Text_Seg,Incorrect
133814,"""S-200521-00046"" for testing of the 40 deg C temp pull should be added to title for searching/traceability purposes.",Document_Text_Seg,Incomplete
106185,"""SDS data sheets""  spell out the abbreviation with the acronym",Document_Text_Seg,Unclear
31155,"""Sequencing inspection"" no longer required",Document_Section,Unnecessary
173101,"""Should this part number be identified as ""salable"" in JDE?"" needs to be checked off for p/n 521200380950, 521200380951 and 521200380952.",Document_Text_Seg,Incorrect
31156,"""Signatures and Review"" block on each page need to be consistent with other SOPs.  See Emily.",Approval,Incorrect
69309,"""STALIF C INSTRUMENT TRAY"", CAS01072, missing from BOM",Document_Text_Seg,Missing
113837,"""Summary"" has wrong spelling in title, needs updating",Document_Text_Seg,Incorrect
47099,"""The decreased number of accumulated scans 
does not produce a spectrum with accurate absorption signals and the original analysis will not be reported."" Please remove this statement.",Document_Info,Unnecessary
3608,"""the short term report pagination should mimic the long term pagination â€“ i.e. include the cover and the TOC as pages so they each consist of 8 pages.""  Needed today.",Document_Formatting,Missing
3609,"""the short term report pagination should mimic the long term pagination â€“ i.e. include the cover and the TOC as pages so they each consist of 8 pages.""  Needed today. ",Document_Formatting,Missing
3589,"""Theory"" section was removed, but the change was not listed in the revision history.",Document_Info,Missing
47104,"""To analyze a QPX7831 sample...""",Unknown,Unknown
181890,"""Training"" is not translated to German",Document_Text_Seg,Incorrect
189810,"""UV"" has to be removed from cure process.  Leave it as ""Cured Exterior Finish"".",Document_Text_Seg,Incorrect
2463,"""Yes"" is selected for Calibration in the custom fields.",Document_Info,Incorrect
2464,"""Yes"" is selected for Calibration in the custom fields. ",Document_Info,Incorrect
3612,"""zip code"" of address is mixed up. One question on Water content value",Address,Incorrect
116790,# 14 has both yes and no,Document_Info,Incorrect
106186,"# 7 add 4867 before laboratory
Please clarify the last statement regarding the delivering department - it is not clear to me who is responsible for notifying the physician.",Document_Info,unclear
55156,"# in word doc says ""LB096""",Document_Text_Seg,Incorrect
104402,# of equipment past due calibration should be 0,Document_Info,Incorrect
121913,"# tank liners used step box for item 000380 is checked and should not be.
Calculate weight of NaOH needed step units are Kg L should just be Kg",Multi_Obj,Multi_Attribs
86238,"#10 in the ""Assembly Instructions"" still has the SKU as 33601007947 instead of 3360010513",Document_Text_Seg,Incorrect
132785,#10 under Lincoln 15:30-08:00 is a duplicate of #9,Document_Info,Duplicate
3615,"#17 should be <1cfu/strip, the < is missing",Document_Info,Missing
46532,#45 missing,Document_Info,Incorrect
117833,"#5 - Second Bulletin ""Write the total load count in the corner with chalk/pencil"" - Make optional as this is not a requirement",Document_Info,Incorrect
46533,#68 missing; CC# in change history incorrect,Document_Info,Incorrect
189811,#7 degrees,Document_Info,Unknown
189812,#7 mentions incorrect number of cases per layer,Document_Info,Incorrect
2466,#7 not marked,Document_Formatting,Missing
100166,"#7600050: delete Note 7. #7600053: Notes 4&5 s/b ""printed "" in black. #7600053 & 7600054; Note 9 ""PRINT"" s/b ""PRODUCE"". All DWGs should strike through the tolerance block.",Multi_Obj,Multi_Attribs
100166-a,#7600050: delete Note 7.,Document_Info,Unnecessary
100166-b,"#7600053: Notes 4&5 s/b ""printed "" in black.",Document_Formatting,Incorrect
100166-c,"#7600053 & 7600054; Note 9 ""PRINT"" s/b ""PRODUCE"". All DWGs should strike through the tolerance block.",Document_Formatting,Incorrect
100696,% increase from using incorrect plug would be over 100% in both cases.,Document_Info,Incorrect
90386,% of formulation table is >100%.  Please update to = 100%.,Document_Info,Incorrect
82376,"% Solids incorrect, should be around 24%.",Document_Info,Incorrect
3618,%match for 092021-0165 is incorrect,Document_Info,Incorrect
3619,() in custom,Unknown,Unknown
3620,() in custom ,Unknown,Unknown
3621,"(1) Define ""sample type""
(2) Change to 3 alerts out of 5, in definition and above the limits responses sections",Multi_Obj,Multi_Attribs
3621-a,"(1) Define ""sample type""",Document_Info,Unclear
3621-b,"(2) Change to 3 alerts out of 5, in definition and above the limits responses sections",Document_Info,Incorrect
3622,"(1) Define ""sample type""
(2) Change to 3 alerts out of 5, in definition and above the limits responses sections
",Multi_Obj,Multi_Attribs
3622-a,"(1) Define ""sample type""",Document_Info,Unclear
3622-b,"(2) Change to 3 alerts out of 5, in definition and above the limits responses sections
",Document_Info,Incorrect
173104,"(1) EU MDR release year is wrong. It states 2016 instead of 2017. 

(2) 1b- change ""...to not..."" should be ""...do not..."". 

(3) Reference all comment/corrections in email.",Multi_Obj,Multi_Attribs
173104-a,"(1) EU MDR release year is wrong. It states 2016 instead of 2017. 
",Date,Incorrect
173104-b,"(2) 1b- change ""...to not..."" should be ""...do not..."". ",Document_Text_Seg,Incorrect
173104-c,(3) Reference all comment/corrections in email.,Reference,Incomplete
162837,"(1) Need to add FRM number to Section 1.4.1.1.1 and 1.4.1.2.5
(2) Need to add power supply to BOM for the formulation module (Section 2B)",Multi_Obj,Multi_Attribs
162837-a,(1) Need to add FRM number to Section 1.4.1.1.1 and 1.4.1.2.5,Document_Info,Missing
162837-b,(2) Need to add power supply to BOM for the formulation module (Section 2B),Document_Info,Missing
54616,"(1) Numbering discrepancies in tables of RSK-0001
(2) Numbering discrepancy in text portion, Section 8.2.3 and 8.3.3 of RSK-0001 and 8.2.4 and 8.3.2 of RSK-0008",Multi_Obj,Multi_Attribs
54616-a,(1) Numbering discrepancies in tables of RSK-0001,Document_Info,Incorrect
54616-b,"(2) Numbering discrepancy in text portion, Section 8.2.3 and 8.3.3 of RSK-0001 and 8.2.4 and 8.3.2 of RSK-0008",Document_Info,Incorrect
54617,(1) Risk 24 has incorrect failure mode (copy paste error) (2) 72 & 84 redundant: combine?  (3) Title and document number on header (4) PDP visual inspection risks?,Multi_Obj,Multi_Attribs
54617-a,(1) Risk 24 has incorrect failure mode (copy paste error),Document_Info,Incorrect
54617-b,(2) 72 & 84 redundant: combine?,Document_Info,Unnecessary
54617-c,(3) Title and document number on header,Document_Formatting,Incorrect
54617-d,(4) PDP visual inspection risks?,Unknown,Unknown
138250,"(2)	If shipping to Canada, use Courier on WC acct #100. EXCEPTION: SHIPMENTS TO SITE 31-003 (Loc) MUST DISPATCH VIA FEDEX PRIORITY.",Address,Incorrect
3639,(660) should be <660> three places,Document_Text_Seg,Incorrect
47106,"(Again) All three QAL-21-0708, QAL-21-0709, and QAL-21-0733 have not been launched (and not been approved) in MasterControl.",Document_Info,Missing
53765,(diazepam) missing from headers and body of all documents. PZ,Document_Info,Missing
84949,"(only combine records on the same DCR 
that the custom fields will be applicable for), 
",Document_Info,Incorrect
76055,(p) please add to feasibility documentation. TMF-05-11677,Document_Info,Incomplete
76056,(p) please add to feasibility documentation. TMF-05-11677 ,Document_Info,Incomplete
172004,"* Add verbiage in Executive Summary as to why Garb Fatigue and Component Hold Time were not challenged.

* Remove Garb Fatigue from Results table in Section 3.2",Multi_Obj,Multi_Attribs
172004-a,* Add verbiage in Executive Summary as to why Garb Fatigue and Component Hold Time were not challenged.,Document_Info,Incomplete
172004-b,* Remove Garb Fatigue from Results table in Section 3.2,Document_Info,Unnecessary
172005,"* Add verbiage in Executive Summary as to why Garb Fatigue was not challenged.

*Remove Garb Fatigue from Summary table in Section 3.2",Multi_Obj,Multi_Attribs
17200b-a,* Add verbiage in Executive Summary as to why Garb Fatigue and Component Hold Time were not challenged.,Document_Info,Incomplete
17200b-b,* Remove Garb Fatigue from Results table in Section 3.2,Document_Info,Unnecessary
82378,"* Cell with Production issue- yes and no should be on same line.
*Cell between Production Issue and Design Validation - Text should be Design something (Not sure)",Multi_Obj,Multi_Attribs
82378-a,* Cell with Production issue- yes and no should be on same line.,Document_Formatting,Incorrect
82378-b,*Cell between Production Issue and Design Validation - Text should be Design something (Not sure),Document_Info,Incorrect
172007,"* Fix ""um"" in Section 3.2

* Change the font for the vialing quantity parameters info (what you added) to Times New Roman",Multi_Obj,Multi_Attribs
172007-a,"* Fix ""um"" in Section 3.2",Document_Text_Seg,Incorrect
172007-b,* Change the font for the vialing quantity parameters info (what you added) to Times New Roman,Document_Formatting,Incorrect
172010,"* Revise Section 6.3 subsection numbering format to align with the specifications of SOP-QA-0054 - Standard Operating Procedure (SOP) Format and Content

*Remove Section 7 - Attachments",Multi_Obj,Multi_Attribs
172010-a,* Revise Section 6.3 subsection numbering format to align with the specifications of SOP-QA-0054 - Standard Operating Procedure (SOP) Format and Content,Document_Formatting,Incorrect
172010-b,*Remove Section 7 - Attachments,Attachment,Unnecessary
172013,"* SOP-VAL-0073 Attachment I -  Need to complete all Validation checkboxes

*SOP-LAB-0166 Attachment I -  Non-Viable Particulate Monitoring cot correctly N/A'd; also, no initials documented, only a date",Multi_Obj,Multi_Attribs
172013-a,* SOP-VAL-0073 Attachment I -  Need to complete all Validation checkboxes,Attachment,Incomplete
172013-b,"*SOP-LAB-0166 Attachment I -  Non-Viable Particulate Monitoring cot correctly N/A'd; also, no initials documented, only a date",Attachment,Incorrect
99987,**Does contain milk per label**,Unknown,Unknown
84950,**Please complete the custom fields and re-launch so it comes back to Doc. Control. ,Document_Info,Incomplete
47107,"*area count
*eventually shutdown
pressure *fluctuation remove wildly",Unknown,Unknown
114854,*did not write reason for obsoleting in details icon,Document_Info,Incomplete
138253,*Infocard already exists. No need to create new infocard,InfoCard,Duplicate
114855,"*last glucose addition in Appendix 12.3 reads density of 1.0082, should be 1.082",Document_Info,Incorrect
100167,"*Missing MOP 70290-03
*Both drawings should show the previous 
  revisions on the upper revision block",Multi_Obj,Multi_Attribs
100167-a,*Missing MOP 70290-03,Document_Info,Missing
100167-b,"*Both drawings should show the previous 
  revisions on the upper revision block",Document_Info,Incorrect
114856,*name is showing up twice in the specification. ,Document_Info,Duplicate
171791,*Need to use MasterControl template,Document_Formatting,Incorrect
56438,*needs correction to screenshot,Document_Info,Incorrect
86872,*New Updates released on (2/3/2020),Date,Incorrect
114853,*No QC approver. ,Approval,Missing
86873,*Noted error on page after sign-off.  Rejected to correct.,Out_of_Doc_Comment,Unknown
86874,*Noted error on page after sign-off.  Rejected to correct. ,Out_of_Doc_Comment,Unknown
41609,*OQ needs acceptance criteria clearly stated.,Document_Info,Unclear
41610,"Can you also include visual inspection of vials after filling?

",Document_Info,Missing
56437,*Rejecting to allow collaboration w/ innovations,Unknown,Unknown
173105,*Remove Innovation Summit from scope of Accounts.,Document_Info,Unnecessary
86875,*Requires update (new release on 2/3/2020),Document_Info,Obsolete
99208,", the proposed change and the reason for change cannot be the same .",Document_Info,Incorrect
160235,". There is a single parenthesis in the following sentence which should be deleted:

â€œServed as Lead Clinical Data Manager for (three studies, including:â€",Document_Formatting,Incorrect
2471,.119 holes with .500 depth should be two separate inspection features instead of just one,Document_Formatting,Incorrect
180104,.pdf not showing up - need to resubmit,Attachment,Missing
82381,.xls file is empty,Attachment,Incomplete
82382,".xlsx still had macro in file from sharepoint, emailing you an updated file to use",Attachment,Incorrect
82383,.xlsx still has SP macros in file.  I will remove and resubmit,Attachment,Incorrect
138484,?? in fist procedural section,Document_Info,Incorrect
99615,"K, WI-0028 is missing macro and title field in header. WI-0029 needs title field in header. Also, please change subtype from facilities to InventoryManagement. Thank you",Multi_Obj,Multi_Attribs
99615-a,"K, WI-0028 is missing macro and title field in header. WI-0029 needs title field in header.",Document_Info,Incorrect
99615-b,"Also, please change subtype from facilities to InventoryManagement. Thank you",Document_Text_Seg,Incorrect
181932,@Marketing: Please don't choose to remove these infocards from the website yet as these will be taken off once NOM July 2021 is launched.,Unknown,Unknown
91995,@Tam...can you update the UOM's in the packet?  Then you can push back into dept approval,Document_Info,Obsolete
